   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   0    4    6   2.138484    31.490688    -0.000000      31.4907   68.59408    0.47307    4
   3    5   -1   2.136872     1.541945     0.000000      1.54194   68.65305    0.00113    4
   1    8    0   2.136333    77.663113    -0.000000      77.6631   68.67278    2.87289    4
   3    5   -3   2.136163   -16.583886     0.000000      16.5839   68.67902    0.13098    4
   0    8    2   2.128718    42.143244    -0.000000      42.1432   68.95303    0.84134    4
   2    3    4   2.126008   -23.442197    -0.000000      23.4422   69.05338    0.25982    4
   1    7   -4   2.123852    -6.718872    -0.000000      6.71887   69.13340    0.02131    4
   1    0    6   2.119939    22.742869    -0.000000      22.7429   69.27920    0.12174    2
   3    2    2   2.119648    39.678167    -0.000000      39.6782   69.29008    0.74095    4
   2    7    0   2.117081    53.555457    -0.000000      53.5555   69.38610    1.34739    4
   2    2   -7   2.117029    -6.097435    -0.000000      6.09743   69.38808    0.01746    4
   3    2   -6   2.116884    36.647728     0.000000      36.6477   69.39349    0.63084    4
   1    8   -2   2.106375    68.092320    -0.000000      68.0923   69.78981    2.16143    4
   2    6    2   2.105446    13.314745     0.000000      13.3147   69.82506    0.08259    4
   1    1    6   2.105062    35.173419    -0.000000      35.1734   69.83964    0.57619    4
   2    5    3   2.100573   -18.733118    -0.000000      18.7331   70.01069    0.16291    4
   1    5   -6   2.099043    17.584581     0.000000      17.5846   70.06923    0.14339    4
   3    4    1   2.095097     7.511760    -0.000000      7.51176   70.22059    0.02609    4
   2    7   -3   2.094592    22.409343     0.000000      22.4093   70.24003    0.23213    4
   3    4   -5   2.093095   -27.751114     0.000000      27.7511   70.29769    0.35560    4
   0    7    4   2.087893    52.793585    -0.000000      52.7936   70.49883    1.28215    4
   1    8    1   2.085209    -8.496204    -0.000000       8.4962   70.60309    0.03314    4
   1    6    4   2.083799    27.139908     0.000000      27.1399   70.65802    0.33784    4
   0    6    5   2.083300   -87.434410     0.000000      87.4344   70.67745    3.50516    4
   1    3   -7   2.080673    68.517830     0.000000      68.5178   70.78009    2.14848    4
   0    1    7   2.075890   -62.136550     0.000000      62.1366   70.96777    1.76086    4
   1    7    3   2.074247   -10.088877     0.000000      10.0889   71.03250    0.04637    4
   3    5    0   2.071939   -24.587052     0.000000      24.5871   71.12360    0.27492    4
   3    5   -4   2.070647    -5.873351    -0.000000      5.87335   71.17472    0.01567    4
   1    2    6   2.062244    20.384974    -0.000000       20.385   71.50924    0.18767    4
   2    6   -5   2.054879    90.329409    -0.000000      90.3294   71.80520    3.66550    4
   3    3    2   2.048278    -9.326296    -0.000000       9.3263   72.07279    0.03889    4
   2    3   -7   2.045914   -35.489750    -0.000000      35.4898   72.16914    0.56219    4
   3    3   -6   2.045784   -23.414572    -0.000000      23.4146   72.17446    0.24469    4
   2    7    1   2.040421    26.639781    -0.000000      26.6398   72.39414    0.31552    4
   2    5   -6   2.036647    23.423337     0.000000      23.4233   72.54959    0.24327    4
   0    2    7   2.034792   -17.082907     0.000000      17.0829   72.62629    0.12922    4
   1    8   -3   2.030526     1.969429    -0.000000      1.96943   72.80332    0.00171    4
   4    0   -2   2.029043   123.649451     0.000000      123.649   72.86508    3.37113    2
   2    4    4   2.027199    88.028430    -0.000000      88.0284   72.94207    3.41266    4
   1    5    5   2.025162    11.882396    -0.000000      11.8824   73.02727    0.06209    4
   0    8    3   2.024286    28.646919    -0.000000      28.6469   73.06401    0.36066    4
   4    1   -3   2.021997    43.152406     0.000000      43.1524   73.16015    0.81703    4
   4    1   -2   2.015988   -41.269900     0.000000      41.2699   73.41383    0.74409    4
   0    5    6   2.011804   -37.871449     0.000000      37.8714   73.59160    0.62471    4
   2    7   -4   2.007154    20.366051    -0.000000      20.3661   73.79030    0.18006    4
   3    6   -2   2.003535    34.708167    -0.000000      34.7082   73.94576    0.52161    4
   4    0   -4   2.002739   -11.378932    -0.000000      11.3789   73.98006    0.02802    2
   1    8    2   1.999184    38.643342    -0.000000      38.6433   74.13364    0.64459    4
   2    1    5   1.998221   -10.031867    -0.000000      10.0319   74.17536    0.04341    4
   1    3    6   1.996341   -16.327265    -0.000000      16.3273   74.25697    0.11484    4
   4    1   -4   1.990181   -45.609270    -0.000000      45.6093   74.52570    0.89217    4
   1    4   -7   1.987782   -47.876635     0.000000      47.8766   74.63096    0.98139    4
   3    6   -1   1.985295    13.876201    -0.000000      13.8762   74.74043    0.08229    4
   3    6   -3   1.984726    47.342909    -0.000000      47.3429   74.76551    0.95754    4
   4    2   -3   1.983960    32.282055     0.000000      32.2821   74.79932    0.44497    4
   3    1    3   1.980006   -81.330297     0.000000      81.3303   74.97439    2.81638    4
   4    2   -2   1.978283    98.384027     0.000000       98.384   75.05095    4.11626    4
   3    1   -7   1.977191   -38.419690    -0.000000      38.4197   75.09958    0.62722    4
   3    5    1   1.975554   -31.268780     0.000000      31.2688   75.17256    0.41498    4
   3    5   -5   1.973875    -3.876171     0.000000      3.87617   75.24762    0.00637    4
   4    1   -1   1.973137   -70.931533     0.000000      70.9315   75.28066    2.13177    4
   0    3    7   1.971407   -36.450453     0.000000      36.4505   75.35824    0.56225    4
   1    7   -5   1.970540    16.053211     0.000000      16.0532   75.39718    0.10899    4
   2    2    5   1.961486    -6.747349     0.000000      6.74735   75.80652    0.01913    4
   0    9    1   1.959952    79.433178    -0.000000      79.4332   75.87638    2.64845    4
   3    4    2   1.959478    44.671053    -0.000000      44.6711   75.89800    0.83733    4
   2    4   -7   1.957408   -11.092561    -0.000000      11.0926   75.99253    0.05155    4
   3    4   -6   1.957294    41.321456    -0.000000      41.3215   75.99775    0.71535    4
   2    6    3   1.956084    13.989554    -0.000000      13.9896   76.05311    0.08192    4
   1    6   -6   1.954848   100.350268     0.000000       100.35   76.10979    4.21164    4
   4    2   -4   1.953880   -32.042452    -0.000000      32.0425   76.15423    0.42911    4
   2    8   -1   1.950989    19.781128    -0.000000      19.7811   76.28733    0.16320    4
   2    8   -2   1.945055    28.557998     0.000000       28.558   76.56217    0.33873    4
   3    2    3   1.944249   -17.528045     0.000000       17.528   76.59965    0.12753    4
   3    2   -7   1.941583    43.292771     0.000000      43.2928   76.72395    0.77654    4
   4    2   -1   1.937744    -3.271146     0.000000      3.27115   76.90375    0.00442    4
   1    0   -8   1.937276    31.783801     0.000000      31.7838   76.92577    0.20864    2
   2    7    2   1.936676   -52.065737     0.000000      52.0657   76.95395    1.11926    4
   3    6    0   1.932899    39.718957    -0.000000       39.719   77.13202    0.64963    4
   3    6   -4   1.931850    -0.569723     0.000000     0.569723   77.18164    0.00013    4
   2    0   -8   1.931085    44.799998     0.000000         44.8   77.21788    0.41270    2
   1    8   -4   1.927949    29.995799     0.000000      29.9958   77.36682    0.36921    4
   1    1   -8   1.925903   -26.554861    -0.000000      26.5549   77.46432    0.28894    4
   4    1   -5   1.925577    -2.383949    -0.000000      2.38395   77.47987    0.00233    4
   4    3   -3   1.925073    34.135953     0.000000       34.136   77.50395    0.47719    4
   2    8    0   1.922880    57.584774    -0.000000      57.5848   77.60890    1.35586    4
   1    9   -1   1.920126    59.909547    -0.000000      59.9095   77.74112    1.46471    4
   4    3   -2   1.919885    10.626286    -0.000000      10.6263   77.75269    0.04607    4
   2    1   -8   1.919820   -83.826772    -0.000000      83.8268   77.75581    2.86702    4
   1    7    4   1.919788   -25.247271     0.000000      25.2473   77.75736    0.26007    4
   0    7    5   1.919398   -14.265177     0.000000      14.2652   77.77612    0.08300    4
   2    5    4   1.918322    20.053225    -0.000000      20.0532   77.82798    0.16390    4
   1    9    0   1.914723   -39.887929    -0.000000      39.8879   78.00200    0.64683    4
   1    4    6   1.913861   101.332930    -0.000000      101.333   78.04381    4.17204    4
   4    0    0   1.910949    54.255786     0.000000      54.2558   78.18539    0.59679    2
   0    9    2   1.909234   -39.421258     0.000000      39.4213   78.26901    0.62936    4
   2    8   -3   1.905982   -97.210780     0.000000      97.2108   78.42822    3.81837    4
   2    3    5   1.904521    -2.486962     0.000000      2.48696   78.49995    0.00250    4
   2    6   -6   1.904151    16.266120     0.000000      16.2661   78.51813    0.10677    4
   0    8    4   1.900930    24.581531    -0.000000      24.5815   78.67692    0.24329    4
   4    1    0   1.900031    -7.240763     0.000000      7.24076   78.72140    0.02110    4
   4    3   -4   1.897556    36.133376     0.000000      36.1334   78.84401    0.52446    4
   2    7   -5   1.897103   -16.209225     0.000000      16.2092   78.86654    0.10551    4
   1    6    5   1.894755     4.760260    -0.000000      4.76026   78.98336    0.00908    4
   1    9   -2   1.893064    12.971587    -0.000000      12.9716   79.06771    0.06738    4
   1    2   -8   1.892950    51.723930     0.000000      51.7239   79.07344    1.07122    4
   4    2   -5   1.892640     6.933095     0.000000       6.9331   79.08890    0.01924    4
   0    4    7   1.891858    27.930511    -0.000000      27.9305   79.12804    0.31212    4
   1    8    3   1.890614    38.504569    -0.000000      38.5046   79.19035    0.59267    4
   3    3    3   1.888730    13.343004     0.000000       13.343   79.28490    0.07108    4
   2    2   -8   1.887173    45.887959     0.000000       45.888   79.36326    0.83975    4
   3    3   -7   1.886286    -9.922354     0.000000      9.92235   79.40797    0.03924    4
   1    5   -7   1.884820    64.929032     0.000000       64.929   79.48202    1.67849    4
   0    6    6   1.883801    21.039738     0.000000      21.0397   79.53355    0.17612    4
   4    3   -1   1.882766    25.925709    -0.000000      25.9257   79.58602    0.26723    4
   1    9    1   1.877655     8.619541    -0.000000      8.61954   79.84604    0.02943    4
   4    2    0   1.868366   -13.038860     0.000000      13.0389   80.32363    0.06692    4
